ERR475467	ERR475468	ERR475469	ERR475470	ERR475471	ERR475472	ERR475473	ERR475474	ERR475475	ERR475476	ERR475477	ERR475478	ERR475479	ERR475480	ERR475481	ERR475482	ERR475483	ERR475484	ERR475485	ERR475486	ERR475487	ERR475488	ERR475489	ERR475490	ERR475491	ERR475492	ERR475493	ERR475494	ERR475495	ERR475496	ERR475497	ERR475498	ERR475499	ERR475500	ERR475501	ERR475502	ERR475503	ERR475504	ERR475505	ERR475506	ERR475507	ERR475508	ERR475509	ERR475510	ERR475511	ERR475512	ERR475513	ERR475514	ERR475515	ERR475516	ERR475517	ERR475518	ERR475519	ERR475520	ERR475521	ERR475522	ERR475523	ERR475524	ERR475525	ERR475526	ERR475527	ERR475528	ERR475529	ERR475530	ERR475531	ERR475532	ERR475533	ERR475534	ERR475535	ERR475536	ERR475537	ERR475538	ERR475539	ERR475540	ERR475541	ERR475542	ERR475543	ERR475544	ERR475545	ERR475546	ERR475547	ERR475548	ERR475549	ERR475550	ERR475551	ERR475552	ERR475553	ERR475554	ERR475555	ERR475556	ERR475557	ERR475558	ERR475559	ERR475560	ERR475561	ERR475562	ERR475563	ERR475564	ERR475565	ERR475566	ERR475567	ERR475568	ERR475569	ERR475570	ERR475571	ERR475572	ERR475573	ERR475574	ERR475575	ERR475576	ERR475577	ERR475578	ERR475579	ERR475580	ERR475581	ERR475582	ERR475583	ERR475584	ERR475585	ERR475586	ERR475587	ERR475588	ERR475589	ERR475590	ERR475591	ERR475592	ERR475593	ERR475594	ERR475595
ASV00011	0	3362	235	1040	2209	523	731	0	151	5082	1835	1761	3091	0	487	0	0	264	475	0	854	378	635	4201	0	936	6077	360	2173	801	16798	9705	118	152	57	7158	11544	30476	14883	1372	190	4312	3604	57301	17776	11205	7496	552	9151	0	1679	5065	4179	186	843	248	406	5228	2004	1168	2522	0	1919	0	6613	421	25	0	12324	4620	6764	6504	0	0	286	259	4186	0	0	1020	107	0	4101	2680	46	2149	0	1695	5156	4508	0	0	12724	1029	490	0	3245	0	7694	1371	23	1131	0	758	0	10852	542	178	1872	0	1616	164	54	0	517	5734	6603	854	0	0	2352	0	0	3921	2976	3051	3120	0	3865
ASV00012	7	1002	0	350	6	125	0	0	4073	269	0	6340	0	273	0	161	0	1030	0	6	0	11	513	2141	207	68	290	2637	11	281	63	0	22496	0	9	0	3356	2195	346	0	7654	0	0	356	199	4281	2613	1248	2089	3889	73	1963	5713	20	3121	0	0	0	0	2437	15	9225	7	2683	0	3349	0	0	0	1328	18	11	10	27	0	4168	686	322	18760	60	17	11252	0	424	0	7	586	0	0	81	40553	1184	6705	2518	57	11	0	8	129	3333	0	229	0	1389	0	561	25	499	6	57221	22	20947	0	5127	0	2090	584	14	0	0	28	96902	0	8657	5765	17	741	0	0
ASV00013	8	2723	1338	95	86	45	15	5660	385	601	264	1239	155	75	17	6118	1076	47	12209	168	341	20	2466	259	70	17	105	897	277	835	4512	4192	64	106	47	423	1519	4118	449	7177	181	254	244	2597	860	900	113	72	4145	192	21837	491	1821	526	2671	17	42487	2867	1755	719	205	48	496	87	16	5	1702	8143	433	181	5126	1778	60	363	317	16558	109	167	151	4182	37	0	2005	3471	414	7224	994	212	1701	1899	3157	252	1497	374	1691	10338	15309	2436	1625	4826	324	899	353	193	4663	6594	74	33040	52689	67	91	0	34	718	695	51	511	650	1826	154	8561	12159	991	2275	695	81	331	1944	16918
ASV00014	15	1510	0	80	220	1701	429	0	764	265	926	6494	486	0	436	452	621	0	189	0	1215	762	1657	1928	164	1098	7562	467	2684	1503	14936	7007	2412	208	0	3487	7369	0	19667	531	2021	17335	0	3136	12	5343	3635	781	3551	3374	1576	1967	991	9092	3205	819	22	5897	169	21510	1015	4159	183	842	1059	3142	27	0	1099	3007	7755	2553	494	0	97	23	495	238	632	1039	2908	2176	15092	928	94	2028	955	1274	3139	12173	523	114	0	9461	3527	0	0	0	5377	1521	0	304	4099	44553	7200	4189	5548	3053	1473	0	283	9235	12	728	406	17346	1448	6420	1045	0	11127	13	51	0	15	35	1346	0	185
ASV00015	35	1555	1440	535	344	131	317	1925	149	169	421	617	1922	550	296	3623	3904	245	150	4335	3806	200	2329	182	180	202	2106	693	357	3089	3331	7920	48	113	4179	9885	14541	2986	1507	40735	84	1339	0	4090	621	2210	1975	544	4742	1714	610	1319	15646	5757	447	563	48	80	1795	654	1062	36	226	807	3958	430	351	2924	493	5101	1834	2956	1765	562	1534	0	759	9372	1890	203	557	1512	3210	9421	4097	3289	11279	840	4937	335	1031	2136	1377	1254	2457	135	5449	2292	261	5262	310	452	1745	9400	0	4247	2463	48818	17101	0	1636	535	4294	694	662	960	1475	437	1559	0	1689	0	553	6284	89	2495	2817	33	1522
ASV00016	24	0	2015	0	0	0	8784	0	0	3787	0	0	0	0	25352	0	0	0	0	0	84	0	0	24	0	661	30	0	7556	0	0	45392	0	920	0	0	40	1314	0	0	0	0	0	0	25	16528	7635	3037	0	2150	0	0	628	0	28573	2928	0	0	1414	0	6073	482	43	0	0	0	7895	3812	0	17507	52	11609	0	0	7021	2569	22819	0	20459	0	59	3483	0	0	0	1079	2903	89	0	7534	0	5688	0	0	114	0	0	0	25304	6924	0	0	0	0	0	0	0	3047	0	47	0	1517	23	5385	0	119	0	12440	0	0	1683	0	87	9353	0	0	0	0	10827
ASV00017	11	404	1605	25	73	96	126	3125	95	2914	64	2732	1022	5976	322	837	4675	119	126	2122	942	173	1950	69	25	1206	3739	692	358	632	7435	5383	663	117	34	2051	2898	5026	437	90	576	15580	0	3265	2391	6622	1175	1580	5471	1200	2592	427	8228	280	496	1382	1060	2707	779	1388	618	60	80	267	1441	128	951	1680	1520	1006	9990	1593	1373	108	3027	98	112	1698	296	188	450	1673	18986	6050	9697	1810	11863	142	7305	584	1313	1352	5837	8847	8223	0	4235	2673	1107	4775	14531	239	1500	14228	9309	2941	297	44622	1000	23	164	217	59	960	250	311	2905	3453	108	0	611	34	1040	346	10218	647	809	0	168
ASV00018	0	17	0	16	1067	1388	961	0	0	0	16	2936	0	3820	0	0	0	0	0	1252	516	352	0	2718	0	1082	2340	13	2845	4569	53	1885	292	0	27	0	15047	49	99637	5721	87	12880	0	53	0	0	6931	133	0	2778	0	2454	0	0	0	10	0	0	1696	0	796	4038	0	228	0	2195	0	0	4390	896	21	0	0	12266	0	4716	1344	17	0	21124	5637	0	9	230	0	3381	0	4646	2100	21	5503	272	14	993	14112	0	0	2087	0	10001	0	7325	658	11181	6435	0	7170	0	342	0	0	172	9	2849	741	20910	536	0	2138	0	2962	0	0	13	0	66	2067	0	2072
ASV00019	17742	17	0	1429	55	9544	0	0	0	0	0	0	0	0	0	0	0	0	1319	0	0	0	0	0	0	0	0	0	0	0	0	0	1888	0	0	0	0	0	49	0	0	0	0	0	53	0	0	38266	0	44	0	0	0	0	0	0	0	0	0	0	23844	0	0	0	0	0	0	0	0	17202	0	0	0	0	69	0	26747	30	61913	1616	5861	0	0	0	0	37	0	36598	0	0	0	26	0	0	0	27708	16	20	0	0	47	0	0	0	0	0	0	0	0	0	0	862	473	0	32798	0	0	0	0	0	0	0	0	0	0	0	337	0	26852
ASV00020	28	2075	785	234	1081	730	1655	3472	703	1426	934	1401	1208	0	332	42	91	1775	117	0	0	1062	120	387	81	212	14585	374	936	434	53150	231	25	35	0	2435	4106	2734	3326	0	12715	8246	631	20217	5268	984	727	3111	0	5411	42	42	56	84	5795	667	24	729	5968	749	893	251	360	22	5314	1503	2573	3728	6182	7273	521	3767	2029	0	408	1192	1726	56	0	66	1033	1001	788	161	336	663	49	1829	220	3772	29	0	656	437	86	38213	0	0	0	6285	0	528	495	445	278	22	891	1403	109	29	277	426	333	0	304	241	8920	6257	77	0	32	31	0	0	20815	1567	2261	1841	383
